,Report_Date,Cases,Deaths,Recovered,Country,Incremental_Cases,CaseRate,Incremental_Deaths,DeathRate,RollingCases_last7,RollingDeaths_last7
22,2020-04-02,33718,2921,2921,UK,4244.0,0.14399131437877452,569.0,0.241921768707483,3151.4285714285716,334.7142857142857
23,2020-04-03,38168,3605,3605,UK,4450.0,0.13197698558633372,684.0,0.23416638137624102,3375.0,406.57142857142856
24,2020-04-04,41903,4313,4313,UK,3735.0,0.09785684342905052,708.0,0.19639389736477114,3544.8571428571427,470.57142857142856
25,2020-04-05,47806,4934,4934,UK,5903.0,0.14087296852254017,621.0,0.14398330628332948,4040.5714285714284,529.4285714285714
26,2020-04-06,51608,5373,5373,UK,3802.0,0.07952976613814165,439.0,0.08897446291041751,4209.571428571428,566.4285714285714
27,2020-04-07,55242,6159,6159,UK,3634.0,0.07041543946674934,786.0,0.14628699050809604,4298.857142857143,624.2857142857143
28,2020-04-08,60733,7097,7097,UK,5491.0,0.09939900800115854,938.0,0.15229745088488392,4465.571428571428,677.8571428571429
29,2020-04-09,65077,7978,7978,UK,4344.0,0.07152618839839955,881.0,0.12413695927856841,4479.857142857143,722.4285714285714
20,2020-04-10,73758,8958,8958,UK,8681.0,0.13339582340919218,980.0,0.12283780396089246,5084.285714285715,764.7142857142857
0,2020-03-13,3661,79,79,France,,,,,,
1,2020-03-14,4469,91,91,France,808.0,0.22070472548484021,12.0,0.1518987341772152,,
2,2020-03-15,4499,91,91,France,30.0,0.006712911165808906,0.0,0.0,,
3,2020-03-16,6633,148,148,France,2134.0,0.4743276283618582,57.0,0.6263736263736264,,
4,2020-03-17,7652,148,148,France,1019.0,0.15362581034222825,0.0,0.0,,
5,2020-03-18,9043,148,148,France,1391.0,0.18178254051228437,0.0,0.0,,
6,2020-03-19,10871,243,243,France,1828.0,0.2021453057613624,95.0,0.6418918918918919,,
7,2020-03-20,12612,450,450,France,1741.0,0.1601508600864686,207.0,0.8518518518518519,1278.7142857142858,53.0
8,2020-03-21,14282,562,562,France,1670.0,0.13241357437361242,112.0,0.24888888888888888,1401.857142857143,67.28571428571429
9,2020-03-22,16018,674,674,France,1736.0,0.12155160341688839,112.0,0.199288256227758,1645.5714285714287,83.28571428571429
